unix,date,symbol,open,high,low,close,Volume BTC,Volume USDT
1652043600,2022-05-08 21:00:00,BTC/USDT,34237.03,34335.47,34237.03,34305.90,0.02589088,888.2099401920001
1652040000,2022-05-08 20:00:00,BTC/USDT,34527.26,34527.26,34236.73,34236.73,0.68757046,23540.164194995803
1652036400,2022-05-08 19:00:00,BTC/USDT,34650.67,34711.89,34650.67,34711.89,0.01043290,362.145677181
1652032800,2022-05-08 18:00:00,BTC/USDT,34013.40,34639.06,33874.09,34521.05,1.35477748,46768.34112595401
1652029200,2022-05-08 17:00:00,BTC/USDT,34315.05,34315.05,33521.25,33976.88,3.06221474,104044.50275521119
1652025600,2022-05-08 16:00:00,BTC/USDT,34388.79,34518.12,34388.79,34518.12,0.03029344,1045.6725971328
1652022000,2022-05-08 15:00:00,BTC/USDT,34475.62,34475.62,34475.62,34475.62,0.04321671,1489.9228716102
1652018400,2022-05-08 14:00:00,BTC/USDT,34418.52,34418.52,34399.62,34399.62,0.27645553,9509.965178898601
1652014800,2022-05-08 13:00:00,BTC/USDT,34621.95,34621.95,34621.95,34621.95,0.00000000,0.0
1652011200,2022-05-08 12:00:00,BTC/USDT,34610.47,34621.95,34587.54,34621.95,0.34826010,12057.443769194999
1652007600,2022-05-08 11:00:00,BTC/USDT,34845.52,34854.96,34747.70,34747.70,0.30165664,10481.874429727999
1652004000,2022-05-08 10:00:00,BTC/USDT,34538.30,34668.45,34538.30,34668.45,0.06236089,2161.9553969205
1652000400,2022-05-08 09:00:00,BTC/USDT,34602.24,34602.24,34602.24,34602.24,0.00224262,77.59967546879999
1651996800,2022-05-08 08:00:00,BTC/USDT,34550.71,34725.72,34550.71,34686.83,0.72781902,25245.7346175066
1651993200,2022-05-08 07:00:00,BTC/USDT,34748.40,34748.40,34748.40,34748.40,0.00034115,11.854416660000002
1651989600,2022-05-08 06:00:00,BTC/USDT,34587.03,34817.22,34587.03,34817.22,2.14815645,74792.835714069
1651986000,2022-05-08 05:00:00,BTC/USDT,34453.05,34453.05,34453.05,34453.05,0.00586276,201.989963418
1651982400,2022-05-08 04:00:00,BTC/USDT,34628.91,34628.91,34628.91,34628.91,0.00651007,225.43662812370002
1651978800,2022-05-08 03:00:00,BTC/USDT,34288.88,34518.05,34250.00,34518.05,0.50201807,17328.6848411635
1651975200,2022-05-08 02:00:00,BTC/USDT,34678.67,34737.14,34288.88,34578.29,1.56063346,53964.0363635834
1651971600,2022-05-08 01:00:00,BTC/USDT,35006.39,35006.39,34750.00,34831.43,0.48981013,17060.787256385902
1651968000,2022-05-08 00:00:00,BTC/USDT,35367.54,35394.39,35300.75,35300.75,0.71157421,25119.1032936575
1651964400,2022-05-07 23:00:00,BTC/USDT,35136.05,35615.89,35136.05,35553.48,1.72125109,61196.4662032932
1651960800,2022-05-07 22:00:00,BTC/USDT,35191.69,35246.60,34939.20,35103.73,0.14725842,5169.3198159066005
1651957200,2022-05-07 21:00:00,BTC/USDT,35652.39,35652.39,35000.00,35000.00,4.91666420,172083.24699999997
1651953600,2022-05-07 20:00:00,BTC/USDT,35781.04,35790.05,35766.94,35766.94,1.22534209,43826.73701250461
1651950000,2022-05-07 19:00:00,BTC/USDT,35872.01,35874.19,35872.01,35874.19,0.00056261,20.1831780359
1651946400,2022-05-07 18:00:00,BTC/USDT,35975.43,35978.30,35915.50,35915.50,0.00253128,90.91218683999999
1651942800,2022-05-07 17:00:00,BTC/USDT,35906.31,35906.31,35888.69,35888.69,0.01716258,615.9425132202
1651939200,2022-05-07 16:00:00,BTC/USDT,35965.09,35965.10,35916.23,35965.10,0.04305106,1548.335678006
1651935600,2022-05-07 15:00:00,BTC/USDT,35992.57,36004.65,35936.66,35940.07,0.00329529,118.4329532703
1651932000,2022-05-07 14:00:00,BTC/USDT,35893.19,35893.19,35893.19,35893.19,0.00028117,10.092088232300002
1651928400,2022-05-07 13:00:00,BTC/USDT,36011.40,36011.40,35886.34,35886.34,0.05072943,1820.4935729861998
1651924800,2022-05-07 12:00:00,BTC/USDT,36009.08,36014.60,35965.37,36014.60,0.21542282,7758.366693171999
1651921200,2022-05-07 11:00:00,BTC/USDT,36097.34,36097.34,36097.34,36097.34,0.05007654,1807.6298904036
1651917600,2022-05-07 10:00:00,BTC/USDT,35980.69,36097.34,35980.69,36097.34,0.04717595,1702.9263069729998
1651914000,2022-05-07 09:00:00,BTC/USDT,36040.35,36040.35,35998.98,35998.98,0.00339216,122.11429999680001
1651910400,2022-05-07 08:00:00,BTC/USDT,35911.12,35911.12,35911.12,35911.12,0.00000000,0.0
1651906800,2022-05-07 07:00:00,BTC/USDT,35911.12,35911.12,35911.12,35911.12,0.00000000,0.0
1651903200,2022-05-07 06:00:00,BTC/USDT,35911.12,35911.12,35911.12,35911.12,0.00000000,0.0
1651899600,2022-05-07 05:00:00,BTC/USDT,35875.64,35911.12,35875.64,35911.12,0.08906448,3198.4052290176005
1651896000,2022-05-07 04:00:00,BTC/USDT,35808.67,35808.67,35808.67,35808.67,0.00028184,10.092315552799999
1651892400,2022-05-07 03:00:00,BTC/USDT,35893.77,35893.77,35831.01,35883.79,0.12438726,4463.4863165154
1651888800,2022-05-07 02:00:00,BTC/USDT,36045.75,36045.75,36045.75,36045.75,0.00000000,0.0
1651885200,2022-05-07 01:00:00,BTC/USDT,36063.41,36063.41,36045.75,36045.75,0.06819584,2458.1701996799998
1651881600,2022-05-07 00:00:00,BTC/USDT,36091.99,36091.99,36091.99,36091.99,0.00000000,0.0
1651878000,2022-05-06 23:00:00,BTC/USDT,36076.47,36091.99,36027.85,36091.99,0.07454894,2690.6195969906
1651874400,2022-05-06 22:00:00,BTC/USDT,36048.43,36059.45,36015.80,36015.80,0.25719439,9263.061711362001
